Year,Month,News_Based_Policy_Uncert_Index
2025,5.0,565.6015481016923
2025,4.0,725.0311653843195
2025,3.0,446.3031627090691
2025,2.0,329.2907931159745
2025,1.0,236.7870681565192
2024,12.0,218.8454805684385
2024,11.0,225.0490307513769
2024,10.0,109.2908888099702
2024,9.0,127.3991206274983
2024,8.0,138.3664253273809
2024,7.0,144.9367986114261
2024,6.0,144.1784243956299
2024,5.0,123.6075205466712
2024,4.0,139.4120173422644
2024,3.0,116.7115028989629
2024,2.0,106.5128734279369
2024,1.0,131.2736785982848
2023,12.0,107.0015790035396
2023,11.0,140.6772041917505
2023,10.0,133.5940749761793
2023,9.0,117.6987774093238
2023,8.0,76.8442238599466
2023,7.0,132.710630244132
2023,6.0,179.3080436058066
2023,5.0,205.1764576637726
2023,4.0,165.4175590624888
2023,3.0,200.4899363224925
2023,2.0,152.9672810638032
2023,1.0,161.427113518284
2022,12.0,150.0371240726886
2022,11.0,210.3748941932042
2022,10.0,207.2753347956232
2022,9.0,201.7384894026574
2022,8.0,183.0348267700993
2022,7.0,222.7899375636538
2022,6.0,152.8105740283377
2022,5.0,190.453017940867
2022,4.0,168.8277466050691
2022,3.0,229.2447416565428
2022,2.0,140.442501940303
2022,1.0,155.279658979555
2021,12.0,201.4336653241074
2021,11.0,175.8728799321725
2021,10.0,136.9202389731853
2021,9.0,171.3004476777602
2021,8.0,157.1952139740155
2021,7.0,182.171409450722
2021,6.0,149.131269416058
2021,5.0,172.0962089286867
2021,4.0,141.3001663096493
2021,3.0,166.7855324285332
2021,2.0,187.5196161119768
2021,1.0,261.3061327503125
2020,12.0,326.6166300683885
2020,11.0,327.6096049518931
2020,10.0,305.7666266812066
2020,9.0,252.5878427032177
2020,8.0,263.471433963797
2020,7.0,427.9153661127743
2020,6.0,300.2401726881104
2020,5.0,503.9633367059844
2020,4.0,400.9447431705236
2020,3.0,425.7791697764692
2020,2.0,216.1912123553838
2020,1.0,164.7553057823113
2019,12.0,190.5049252842669
2019,11.0,170.4803410561536
2019,10.0,159.5113928417186
2019,9.0,186.6406965622766
2019,8.0,282.5229310028657
2019,7.0,207.745461743896
2019,6.0,207.9913722842592
2019,5.0,160.8581540301101
2019,4.0,109.6863734547495
2019,3.0,180.6316996863266
2019,2.0,123.6392880212809
2019,1.0,284.1359376541715
2018,12.0,226.5768878354379
2018,11.0,164.9422023366689
2018,10.0,136.1146533089458
2018,9.0,120.9851906831101
2018,8.0,114.9613708572396
2018,7.0,176.2050780697524
2018,6.0,134.4027709527635
2018,5.0,162.276697274414
2018,4.0,139.0353863798274
2018,3.0,187.0958898895265
2018,2.0,114.7555583071917
2018,1.0,160.9672048231562
2017,12.0,140.3501816320869
2017,11.0,111.2826864575013
2017,10.0,125.865843904908
2017,9.0,116.6200174922449
2017,8.0,137.8597035673235
2017,7.0,141.1383349749601
2017,6.0,120.638462013977
2017,5.0,129.8880577350944
2017,4.0,157.676522760486
2017,3.0,154.6096950716648
2017,2.0,177.7777170307839
2017,1.0,195.0406301487559
2016,12.0,161.4247861796474
2016,11.0,254.1013277977594
2016,10.0,108.06412479275
2016,9.0,86.34353837572384
2016,8.0,106.8856227880738
2016,7.0,164.458400529457
2016,6.0,233.9561029807024
2016,5.0,96.22233274231513
2016,4.0,96.41341581246452
2016,3.0,130.490159323843
2016,2.0,148.3217888430222
2016,1.0,154.8573305883009
2015,12.0,101.9634328516299
2015,11.0,89.58371043936737
2015,10.0,110.7019377382614
2015,9.0,171.9326776079735
2015,8.0,156.5036297684981
2015,7.0,98.73479281421763
